delivery_time_utc,actual_price,actual_revision
2026-08-08T21:30:00Z,137.44,initial
2026-08-08T22:00:00Z,123.38,initial
2026-08-08T22:30:00Z,126.19,initial
2026-08-08T23:00:00Z,117.84,initial
2026-08-08T23:30:00Z,121.15,initial
2026-08-09T00:00:00Z,115.38,initial
2026-08-09T00:30:00Z,117.54,initial
2026-08-09T01:00:00Z,112.67,initial
2026-08-09T01:30:00Z,111.52,initial
2026-08-09T02:00:00Z,125.42,initial
2026-08-09T02:30:00Z,122.02,initial
2026-08-09T03:00:00Z,123.04,initial
2026-08-09T03:30:00Z,124.92,initial
2026-08-09T04:00:00Z,128.47,initial
2026-08-09T04:30:00Z,130.01,initial
2026-08-09T05:00:00Z,120.03,initial
2026-08-09T05:30:00Z,122.68,initial
2026-08-09T06:00:00Z,85.56,initial
2026-08-09T06:30:00Z,83.4,initial
2026-08-09T07:00:00Z,42.83,initial
2026-08-09T07:30:00Z,36.61,initial
2026-08-09T08:00:00Z,23.87,initial
2026-08-09T08:30:00Z,16.09,initial
2026-08-09T09:00:00Z,14.47,initial
2026-08-09T09:30:00Z,7.99,initial
2026-08-09T10:00:00Z,3.24,initial
2026-08-09T10:30:00Z,2.6,initial
2026-08-09T11:00:00Z,2.28,initial
2026-08-09T11:30:00Z,3.52,initial
2026-08-09T12:00:00Z,14.21,initial
2026-08-09T12:30:00Z,22.43,initial
2026-08-09T13:00:00Z,41.36,initial
2026-08-09T13:30:00Z,51.8,initial
2026-08-09T14:00:00Z,81.95,initial
2026-08-09T14:30:00Z,93.92,initial
2026-08-09T15:00:00Z,108.58,initial
2026-08-09T15:30:00Z,110.25,initial
2026-08-09T16:00:00Z,131.86,initial
2026-08-09T16:30:00Z,121.4,initial
2026-08-09T17:00:00Z,139.71,initial
2026-08-09T17:30:00Z,139.72,initial
2026-08-09T18:00:00Z,145.37,initial
2026-08-09T18:30:00Z,149.18,initial
2026-08-09T19:00:00Z,145.56,initial
2026-08-09T19:30:00Z,147.01,initial
2026-08-09T20:00:00Z,143.39,initial
2026-08-09T20:30:00Z,141.57,initial
2026-08-09T21:00:00Z,136.45,initial
2026-08-09T21:30:00Z,128.54,initial
2026-08-09T22:00:00Z,119.09,initial
2026-08-09T22:30:00Z,114.34,initial
2026-08-09T23:00:00Z,108.68,initial
2026-08-09T23:30:00Z,108.68,initial
2026-08-10T00:00:00Z,113.35,initial
2026-08-10T00:30:00Z,110.18,initial
2026-08-10T01:00:00Z,106.13,initial
2026-08-10T01:30:00Z,104.21,initial
2026-08-10T02:00:00Z,110.3,initial
2026-08-10T02:30:00Z,110.96,initial
2026-08-10T03:00:00Z,113.72,initial
2026-08-10T03:30:00Z,111.19,initial
2026-08-10T04:00:00Z,125.11,initial
2026-08-10T04:30:00Z,128.2,initial
2026-08-10T05:00:00Z,132.73,initial
2026-08-10T05:30:00Z,139.64,initial
2026-08-10T06:00:00Z,135.18,initial
2026-08-10T06:30:00Z,145.19,initial
2026-08-10T07:00:00Z,125.5,initial
2026-08-10T07:30:00Z,130.32,initial
2026-08-10T08:00:00Z,110.52,initial
